doc_key,mention_ind,mentions_vs_mentionstr,mentions_vs_clusters,mentions_vs_tbound,category,pronoun_class,entity_name,name_fuzzy_scores,neighbour_distance,nominal_neighbour_distance,surface_neighbour_distance,avg_fuzzy_scores,cluster_size,nominal_size,is_plural,num_major_mentions_neigh,num_helpers,num_dists,fin_dists,is_nested,nested_entities,dataset,predicted_answer,answer,phrase_extr,correct,options,pred_in_opts,pred_gender,ans_gender,output,predicted_pronoun,answer_pronoun,num_options,is_dialogue,correct_extr
5348_ragged_dick_or_street_life_in_new_york_with_the_bootblacks_brat_0,101,his office,20,"[754, 755]",NOM,-1,Mr. Greyson's Office,74,93,93,93,86.0,4,3,False,16,-1,-2,-1,1,['Mr. Greyson'],litbank,Mr. Greyson's Office,Mr. Greyson's Office,his office,True,"['Mr. Greyson', 'My Mansion', 'Narrator', ""Mr. Greyson's Office"", 'The Speaker', 'The Unsuspicious Stranger', 'Ragged Dick', 'Lewis Napoleon', 'General Washington', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{his office}}
- Explanation: The mention refers to the office of the gentleman who is getting his boots shined by Ragged Dick.
- The mention refers to: Mr. Greyson's Office 
",{4: 1},{4: 1},10,False,True
502_desert_gold_brat_0,46,The stranger,14,"[446, 447]",NOM,-1,Cameron's Comrade,44,2,8,65,57.96875,84,32,False,19,-1,-2,-1,0,[],litbank,None of the Above,None of the Above,The stranger,True,"['Cameron', 'None of the Above']",True,None,None,"- Mention: The stranger
- Explanation: The stranger is a man who Cameron meets while camping in the desert.
- The mention refers to: None of the Above 
",{},{},2,False,True
24_o_pioneers_brat_0,85,his sister,45,"[550, 551]",NOM,-1,Alexandra,36,2,18,64,55.785714285714285,65,14,False,16,-1,-2,-1,1,['Emil'],litbank,Alexandra,Alexandra,his sister,True,"['The Store', 'The Little Drummer', 'The Doctor', 'The Drug Store', 'The Saloon', 'Emil', 'The Street', 'Alexandra', 'Hanover', 'Marie', 'Carl', 'None of the Above']",True,Female,Female,"- Mention: {{his sister}}
- Explanation: The mention refers to the sister of the little Swede boy, Emil.
- The mention refers to: Alexandra 
","{3: 40, 0: 10, 1: 1}","{3: 40, 0: 10, 1: 1}",12,False,True
5230_the_invisible_man_a_grotesque_romance_brat_0,125,her visitor,0,"[842, 843]",NOM,-1,The Stranger,47,2,11,102,70.17647058823529,124,17,False,19,-1,-2,-1,1,['Mrs. Hall'],litbank,The Stranger,The Stranger,her visitor,True,"['Mrs. Hall', 'The Room', 'Millie', 'The Kitchen', 'The Stranger', 'None of the Above']",True,Male,Male,"- Mention: {{her visitor}}
- Explanation: The mention refers to the stranger who arrived at the inn.
- The mention refers to: The Stranger 
","{2: 102, 1: 3, 0: 2}","{2: 102, 1: 3, 0: 2}",6,False,True
217_sons_and_lovers_brat_0,295,my dad,83,"[1990, 1991]",NOM,-1,Morel,29,11,11,167,54.25,5,4,False,13,-1,-2,-1,1,['William'],litbank,None of the Above,None of the Above,my dad,True,"['Annie', 'William', 'The Bottoms', 'Mrs. Morel', 'Bestwood', 'Hell Row', 'None of the Above']",True,None,None,"- Mention: {{my dad}}
- Explanation: The mention refers to the speaker's father, who is also the husband of Mrs. Morel.
- The mention refers to: None of the Above 
",{},{},7,False,True
969_the_tenant_of_wildfell_hall_brat_0,280,my dear,20,"[1772, 1773]",NOM,-1,Narrator's Sister,44,25,25,25,50.6,24,10,False,20,-1,-2,-1,1,"[""Narrator's Mother""]",litbank,Narrator's Mother,Narrator's Sister,my dear,False,"[""Narrator's Sister"", ""Narrator's Father"", 'Unknown Friend', ""Eliza Millward's Father"", 'Mrs. Wilson', 'Jane Wilson', 'Eliza Millward', ""Narrator's Mother"", 'Mrs. Graham', 'The Parlour', 'Wildfell Hall', 'Narrator', 'Fergus', 'None of the Above']",True,Female,Female,"- Mention: {{my dear}}
- Explanation: The mention is used as a term of endearment by the narrator's mother.
- The mention refers to: Narrator's Mother 
","{3: 9, 0: 9, 1: 2}","{0: 8, 3: 5, 1: 1}",14,False,True
3268_the_mysteries_of_udolpho_brat_0,33,daughter,23,"[254, 254]",NOM,-1,Emily,29,99,99,117,76.33333333333333,10,3,False,12,-1,-2,-1,0,[],litbank,Emily,Emily,daughter,True,"['Emily', 'Late Monsieur St. Aubert', 'Chateau Of St. Aubert', 'Old Building', 'Garonne River', 'Library', 'Madame St. Aubert', 'Gascony', 'Room', 'St. Aubert', 'Plantation Of Trees', 'None of the Above']",True,Female,Female,"- Mention: {{daughter}}
- Explanation: The text describes St. Aubert's family, mentioning his wife and daughter.
- The mention refers to: Emily 
",{3: 7},{3: 7},12,False,True
514_little_women_brat_0,183,Papa,7,"[1217, 1217]",NOM,-1,Father,33,66,66,70,58.125,10,8,False,15,-1,-2,-1,0,[],litbank,Father,Father,Papa,True,"['Meg March', 'Jo March', 'Beth March', 'Father', 'Amy March', 'Mother', 'None of the Above']",True,Male,Male,"- Mention: {{Papa}}
- Explanation: The mention refers to the father of the four sisters, who is away fighting in the war.
- The mention refers to: Father 
",{2: 2},{2: 2},7,False,True
1342_pride_and_prejudice_brat_0,312,his wife,6,"[1694, 1695]",NOM,-1,Mrs. Bennet,22,2,11,11,55.5,86,16,False,18,-1,-2,-1,1,['Mr. Bennet'],litbank,Mrs. Bennet,Mrs. Bennet,his wife,True,"['Mr. Bingley', 'Mrs. Bennet', 'Kitty', 'Mrs. Long', 'Netherfield Park', 'Elizabeth', 'Lydia', 'Mary', 'Mr. Bennet', 'None of the Above']",True,Female,Female,"- Mention: {{his wife}}
- Explanation: The mention refers to the wife of Mr. Bennet, who is being addressed in the text.
- The mention refers to: Mrs. Bennet 
","{0: 34, 1: 22, 3: 14}","{0: 34, 1: 22, 3: 14}",10,False,True
4276_north_and_south_brat_0,259,the child,1,"[1677, 1678]",NOM,-1,Margaret,22,1,13,13,31.956521739130434,72,23,False,14,-1,-2,-1,0,[],litbank,Margaret,Margaret,the child,True,"['Mother', 'Helstone Parsonage', 'Newton', 'Mr. Hale', 'Edith', 'The House', 'General Shaw', 'Margaret', 'Captain Lennox', 'Mrs. Shaw', 'The Drawing-room', 'Helen', 'Mrs. Gibson', 'The Nursery', 'None of the Above']",True,Female,Female,"- Mention: {{the child}}
- Explanation: The mention refers to the speaker, Margaret, who is reminiscing about her childhood.
- The mention refers to: Margaret 
","{3: 46, 0: 2, 1: 1}","{3: 46, 0: 2, 1: 1}",15,False,True
233_sister_carrie_a_novel_brat_0,65,a woman 's,0,"[704, 706]",NOM,-1,Carrie Meeber,35,2,20,34,44.375,85,8,False,14,-1,-2,-1,0,[],litbank,None of the Above,Carrie Meeber,a woman 's,False,"['A Man', 'Columbia City', 'Chicago', ""Carrie Meeber's Sister"", 'Carrie Meeber', 'None of the Above']",True,None,Female,"- Mention: {{a woman 's}}
- Explanation: The mention refers to a woman in general, not a specific woman.
- The mention refers to: None of the Above 
",{},"{3: 61, 1: 10, 0: 6}",6,False,True
41286_miss_marjoribanks_brat_0,149,his daughter,0,"[1251, 1252]",NOM,-1,Miss Marjoribanks,38,3,6,14,43.16129032258065,122,31,False,18,-1,-2,-1,1,['Dr. Marjoribanks'],litbank,None of the Above,None of the Above,his daughter,True,"['The Drawing-room', 'Dr. Marjoribanks', 'The World', 'Mrs. Marjoribanks', ""Dr. Marjoribanks' Library"", 'Ellis', 'None of the Above']",True,None,None,"- Mention: {{his daughter}}
- Explanation: The mention refers to Lucilla, the daughter of Dr. Marjoribanks.
- The mention refers to: None of the Above 
",{},{},7,False,True
829_gullivers_travels_into_several_remote_nations_of_the_world_brat_0,500,the emperor 's,92,"[3403, 3405]",NOM,-1,The King,67,132,133,133,87.5,3,2,False,7,-1,-2,-1,0,[],litbank,The King,The King,the emperor 's,True,"['His Excellency', 'The Boat', 'The King', 'The Sea', 'Leyden', 'A Human Creature', 'Mr. Bates', 'The Author', ""The Author's Wife"", 'The Ship', ""The Author's Father"", 'The Reader', 'Lilliput', 'None of the Above']",True,Male,Male,"- Mention: {{the emperor 's}}
- Explanation: The mention refers to the emperor of Lilliput, who is the ruler of the tiny people.
- The mention refers to: The King 
",{2: 1},{2: 1},14,False,True
1260_jane_eyre_an_autobiography_brat_0,220,their young master,8,"[1558, 1560]",NOM,-1,John Reed,31,2,11,11,48.07692307692308,65,13,False,19,-1,-2,-1,1,['Others'],litbank,John Reed,John Reed,their young master,True,"['Jane Eyre', 'Breakfast-room', 'Eliza', 'Mrs. Reed', 'Bessie', 'Solitary Churchyard', 'John Reed', 'Home', 'Georgiana Reed', 'None of the Above']",True,Male,Male,"- Mention: {{their young master}}
- Explanation: The mention refers to John Reed, who is being described as the young master of the servants.
- The mention refers to: John Reed 
","{2: 46, 0: 4, 1: 2}","{2: 46, 0: 4, 1: 2}",10,False,True
77_the_house_of_the_seven_gables_brat_0,200,"the square of earth whence Matthew Maule , forty years before , had first swept away the fallen leaves",23,"[1833, 1851]",NOM,-1,The Soil,62,11,11,24,55.916666666666664,12,12,False,14,-1,-2,-1,1,['Matthew Maule'],litbank,The Soil,The Soil,"the square of earth whence Matthew Maule, forty years before, had first swept away the fallen leaves",True,"['Matthew Maule', 'Narrator', 'The Spring', 'Colonel Pyncheon', 'Pyncheon Street', ""Maule's Well"", 'The Soil', 'Thomas Maule', 'The House Of The Seven Gables', ""Matthew Maule's Hut"", 'None of the Above']",True,Neutral,Neutral,"- Mention: {{the square of earth whence Matthew Maule, forty years before, had first swept away the fallen leaves}}
- Explanation: This phrase describes the specific location where Matthew Maule's original hut stood, which is now the site of Colonel Pyncheon's new mansion.
- The mention refers to: **The Soil** 
",{},{},11,False,False
62_a_princess_of_mars_brat_0,73,another Confederate officer,24,"[480, 482]",NOM,-1,Powell,33,6,6,6,38.22727272727273,42,22,False,9,-1,-2,-1,0,[],litbank,Powell,Powell,another Confederate officer,True,"['The Water Hole', 'Arizona', 'John Carter', 'The Valley', 'Powell', 'The Plateau', 'The Trail', 'None of the Above']",True,Male,Male,"- Mention: {{another Confederate officer}}
- Explanation: The mention refers to a fellow Confederate soldier who is mentioned earlier in the text.
- The mention refers to: Powell 
",{2: 20},{2: 20},8,False,True
41286_miss_marjoribanks_brat_0,175,her mother,1,"[1438, 1439]",NOM,-1,Mrs. Marjoribanks,43,13,13,13,58.95,35,20,False,18,-1,-2,-1,1,['Miss Marjoribanks'],litbank,Mrs. Marjoribanks,Mrs. Marjoribanks,her mother,True,"['Mrs. Marjoribanks', 'Dr. Marjoribanks', 'Miss Marjoribanks', 'The Drawing-room', 'The World', ""Dr. Marjoribanks' Library"", 'Ellis', 'None of the Above']",True,Female,Female,"- Mention: {{her mother}}
- Explanation: The mention refers to the deceased wife of Dr. Marjoribanks, who is the mother of Miss Marjoribanks.
- The mention refers to: Mrs. Marjoribanks 
",{3: 15},{3: 15},8,False,True
1245_night_and_day_brat_0,216,her mother,3,"[1513, 1514]",NOM,-1,Mrs. Hilbery,60,17,17,49,78.92307692307692,28,13,False,20,-1,-2,-1,1,['Katharine Hilbery'],litbank,Mrs. Hilbery,Mrs. Hilbery,her mother,True,"['Trafalgar', 'Mr. Fortescue', 'Cousin', 'Mrs. Hilbery', 'Drawing-room', 'Mr. Hilbery', 'Mr. Denham', 'Katharine Hilbery', 'Manchester', 'Mr. Ruskin', 'None of the Above']",True,Female,Female,"- Mention: {{her mother}}
- Explanation: The mention refers to Katharine Hilbery's mother, who is also mentioned as Mrs. Hilbery in the text.
- The mention refers to: Mrs. Hilbery 
","{0: 10, 3: 5}","{0: 10, 3: 5}",11,False,True
9830_the_beautiful_and_damned_brat_0,63,his grandson,0,"[479, 480]",NOM,-1,Anthony Patch,50,20,20,21,54.758620689655174,121,29,False,14,-1,-2,-1,1,"['Adam J. Patch', 'Others']",litbank,Anthony Patch,Anthony Patch,his grandson,True,"['Henrietta Lebrune Patch', ""Anthony's Father"", 'Adam J. Patch', 'Harvard University', 'Anthony Patch', 'Tarrytown', ""Anthony's Grandmother"", 'Rome', 'Ulysses', 'None of the Above']",True,Male,Male,"- Mention: {{his grandson}}
- Explanation: The mention refers to Anthony Patch, who is the grandson of Adam J. Patch.
- The mention refers to: Anthony Patch 
",{2: 92},{2: 92},10,False,True
766_david_copperfield_brat_0,109,my poor mother,39,"[907, 909]",NOM,-1,Narrator's Mother,67,2,44,44,93.26086956521739,50,23,False,18,-1,-2,-1,1,['Narrator'],litbank,Narrator's Mother,Narrator's Mother,my poor mother,True,"['India', 'Husband', ""Narrator's Mother"", 'The World', 'Miss Betsey Trotwood', 'Old Lady With A Hand-basket', 'Narrator', 'This Property', ""Narrator's Father"", 'None of the Above']",True,Female,Female,"- Mention: {{my poor mother}}
- Explanation: The mention refers to the narrator's mother, who is described as being timid, sad, and doubtful about her ability to survive the upcoming trial of childbirth.
- The mention refers to: Narrator's Mother 
","{3: 23, 1: 4}","{3: 23, 1: 4}",10,False,True
41286_miss_marjoribanks_brat_0,211,poor papa,10,"[1652, 1653]",NOM,-1,Dr. Marjoribanks,33,3,3,28,45.535714285714285,82,28,False,15,-1,-2,-1,0,[],litbank,Dr. Marjoribanks,Dr. Marjoribanks,poor papa,True,"['Dr. Marjoribanks', 'The World', 'The Drawing-room', 'Mrs. Marjoribanks', ""Dr. Marjoribanks' Library"", 'Ellis', 'Miss Marjoribanks', 'None of the Above']",True,Male,Male,"- Mention: {{poor papa}}
- Explanation: The mention refers to the speaker's father, who is a doctor.
- The mention refers to: Dr. Marjoribanks 
","{2: 53, 0: 1}","{2: 53, 0: 1}",8,False,True
1260_jane_eyre_an_autobiography_brat_0,284,the house,4,"[1911, 1912]",NOM,-1,Home,67,10,10,83,72.5,6,6,False,16,-1,-2,-1,0,[],litbank,None of the Above,Home,the house,False,"['John Reed', 'Mrs. Reed', 'Bessie', 'Eliza', 'Home', 'Breakfast-room', 'Solitary Churchyard', 'Georgiana Reed', 'Jane Eyre', 'None of the Above']",True,None,Neutral,"- Mention: {{the house}}
- Explanation: The mention refers to the house where Jane Eyre lives. John Reed is claiming ownership of the house.
- The mention refers to: None of the Above 
",{},{},10,False,True
3457_the_man_of_the_forest_brat_0,203,a hoss,58,"[1704, 1705]",NOM,-1,Wilson,29,17,17,26,56.333333333333336,11,3,False,9,-1,-2,-1,0,[],litbank,None of the Above,Wilson,a hoss,False,"['Jim Wilson', 'Burt', 'The Forest', 'The Man Who Sent Moze Out', 'Snake Anson', 'Dale', 'Beasley', 'The Valley', 'Wilson', 'The Cabin', 'The Gang', 'The Mountain World', 'None of the Above']",True,None,Male,"- Mention: {{a hoss}}
- Explanation: The mention refers to a horse that Moze heard coming up the trail.
- The mention refers to: None of the Above 
",{},"{2: 7, 0: 1}",13,False,True
105_persuasion_brat_0,218,her father,0,"[1600, 1601]",NOM,-1,Sir Walter Elliot,53,15,15,36,65.29166666666667,66,24,False,14,-1,-2,-1,1,['Elizabeth Elliot'],litbank,Sir Walter Elliot,Sir Walter Elliot,her father,True,"['Lady Russell', 'Mary Musgrove', 'Kellynch Hall', 'Elizabeth Elliot', 'Lady Elliot', 'House Of Elliot', 'William Walter Elliot, Esq.', 'Anne Elliot', 'Sir Walter Elliot', 'None of the Above']",True,Male,Male,"- Mention: {{her father}}
- Explanation: The mention refers to the father of Elizabeth Elliot, who is Sir Walter Elliot.
- The mention refers to: Sir Walter Elliot 
",{2: 42},{2: 42},10,False,True
78_tarzan_of_the_apes_brat_0,179,his young wife,40,"[1095, 1097]",NOM,-1,Lady Alice,42,12,12,12,53.333333333333336,13,9,False,15,-1,-2,-1,1,['John Clayton'],litbank,Lady Alice,Lady Alice,his young wife,True,"[""Narrator's Host"", 'The British Colonial Office', 'The First Mate', 'The Sailor', 'The Sea', 'Africa', 'The Fuwalda', 'Narrator', 'The Deck', 'European Power', 'John Clayton', 'Lady Alice', 'Black Michael', 'Freetown', 'The Captain', 'None of the Above']",True,Female,Female,"- Mention: {{his young wife}}
- Explanation: The mention refers to Lady Alice, who is John Clayton's wife.
- The mention refers to: Lady Alice 
",{3: 4},{3: 4},16,False,True
95_the_prisoner_of_zenda_brat_0,177,This lady,14,"[1081, 1082]",NOM,-1,Countess Amelia,44,5,5,97,61.75,5,4,False,14,-1,-2,-1,0,[],litbank,Countess Amelia,Countess Amelia,This lady,True,"['Rudolf', 'Countess Amelia', 'Rudolf The Third', 'Ruritania', 'Rose', 'James', 'Robert', 'Sir Jacob', ""Rudolf's Father"", 'The Elphbergs', 'Burlesdon', 'Rudolf The Fifth', 'The World', 'None of the Above']",True,Female,Female,"- Mention: {{This lady}}
- Explanation: This lady refers to the Countess Amelia, who was the wife of James, the fifth Earl of Burlesdon.
- The mention refers to: Countess Amelia 
",{3: 1},{3: 1},14,False,True
84_frankenstein_or_the_modern_prometheus_brat_0,234,my dear sister,1,"[1545, 1547]",NOM,-1,Margaret,33,3,14,14,66.54545454545455,27,11,False,16,-1,-2,-1,1,['Narrator'],litbank,Margaret,Margaret,my dear sister,True,"['England', 'The Master', ""The Master's Former Mistress"", 'The North Pole', 'A Child', ""His Former Mistress's Lover"", ""Narrator's Lieutenant"", ""His Former Mistress's Father"", 'St. Petersburg', 'Archangel', 'The Arctic Regions', 'Uncle Thomas', 'Margaret', 'Narrator', 'None of the Above']",True,Female,Female,"- Mention: {{my dear sister}}
- Explanation: The narrator is addressing his sister, Margaret, in the letter.
- The mention refers to: Margaret 
",{1: 16},{1: 16},15,False,True
78_tarzan_of_the_apes_brat_0,227,the great mountain of muscle towering before him,81,"[1475, 1482]",NOM,-1,Black Michael,38,4,4,35,53.888888888888886,20,9,False,21,-1,-2,-1,1,['The Captain'],litbank,Black Michael,Black Michael,the great mountain of muscle towering before him,True,"['Africa', 'The Sea', 'European Power', 'The Captain', 'Narrator', 'John Clayton', ""Narrator's Host"", 'Freetown', 'The British Colonial Office', 'The Sailor', 'The Fuwalda', 'Lady Alice', 'The Deck', 'The First Mate', 'Black Michael', 'None of the Above']",True,Male,Male,"- Mention: {{the great mountain of muscle towering before him}}
- Explanation: This phrase describes the physical appearance of Black Michael, a sailor on the Fuwalda.
- The mention refers to: Black Michael 
",{2: 11},{2: 11},16,False,True
932_the_fall_of_the_house_of_usher_brat_0,60,my friend,9,"[674, 675]",NOM,-1,Roderick Usher,33,1,16,25,46.44444444444444,23,9,False,19,-1,-2,-1,1,['Narrator'],litbank,Roderick Usher,Roderick Usher,my friend,True,"['Tarn', 'Usher Family', 'Family Physician', 'House Of Usher', 'Narrator', 'Valet', 'Roderick Usher', 'None of the Above']",True,Male,Male,"- Mention: {{my friend}}
- Explanation: The mention is used in the context of the narrator's past relationship with the owner of the House of Usher.
- The mention refers to: Roderick Usher 
",{2: 14},{2: 14},8,False,True
84_frankenstein_or_the_modern_prometheus_brat_0,9,my dear sister,1,"[51, 53]",NOM,-1,Margaret,33,5,8,25,66.54545454545455,27,11,False,17,-1,-2,-1,1,['Narrator'],litbank,Margaret,Margaret,my dear sister,True,"['Archangel', 'England', ""His Former Mistress's Lover"", ""The Master's Former Mistress"", 'Narrator', 'Uncle Thomas', 'Margaret', 'St. Petersburg', ""Narrator's Lieutenant"", ""His Former Mistress's Father"", 'A Child', 'The Master', 'The North Pole', 'The Arctic Regions', 'None of the Above']",True,Female,Female,"- Mention: {{my dear sister}}
- Explanation: The mention is used by the narrator to address his sister, Margaret.
- The mention refers to: Margaret 
",{1: 16},{1: 16},15,False,True
2005_piccadilly_jim_brat_0,73,Mr. Pett 's rooms,1,"[476, 479]",NOM,-1,Mr. Peter Pett's Residence,67,18,18,72,51.6,17,10,False,16,-1,-2,-1,1,['Mr. Peter Pett'],litbank,Mr. Pett's Room,Mr. Peter Pett's Residence,Mr. Pett 's rooms,False,"['Elmer Ford', ""Mr. Peter Pett's Residence"", 'Library', 'Riverside Drive', 'Ogden Ford', ""Mr. Pett's Room"", 'Mrs. Pett', 'Mr. Peter Pett', 'The Typewriter Girl', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{Mr. Pett 's rooms}}
- Explanation: The mention refers to the rooms in the house that Mr. Pett owns.
- The mention refers to: Mr. Pett's Room 
",{4: 3},{4: 7},10,False,True
974_the_secret_agent_a_simple_tale_brat_0,64,the house in which Mr Verloc carried on his business of a seller of shady wares,4,"[862, 877]",NOM,-1,The House,67,13,13,52,72.33333333333333,4,3,False,14,-1,-2,-1,1,"['Mr. Verloc', 'Others']",litbank,The House,The House,the house in which Mr Verloc carried on his business of a seller of shady wares,True,"['Winnie Verloc', 'Winnie’s Mother', ""Verloc's Shop"", 'Mr. Verloc', ""Stevie's Father"", 'The House', ""Mr. Verloc's Temporary Home"", 'The Customer', 'The Belgravian Square', 'Stevie', 'The Breakfast-room', 'None of the Above']",True,Neutral,Neutral,"- Mention: {{the house in which Mr Verloc carried on his business of a seller of shady wares}}
- Explanation: The mention refers to the house where Mr. Verloc lives and runs his shop.
- The mention refers to: The House 
",{4: 1},{4: 1},12,False,True
